u,v,length_km,capacity_gbps_per_lambda,wavelength_slots,available_slots,estimated_spans,amplifier_count,total_line_capacity_gbps
53,54,45.11281256448528,100,56,42,1,0,5600
53,56,41.1989386824971,600,81,65,1,0,48600
54,59,32.09789429776782,200,46,39,1,0,9200
56,74,28.993170717222647,800,53,27,1,0,42400
57,58,25.48929091811727,100,71,46,1,0,7100
57,60,80.82557215570719,200,87,71,2,1,17400
57,79,43.77613285619683,800,58,51,1,0,46400
58,81,21.64797994498231,600,56,39,1,0,33600
59,60,83.80727999101643,800,54,47,2,1,43200
61,62,43.392294772986276,100,49,25,1,0,4900
61,70,41.792199139044065,200,64,57,1,0,12800
61,71,46.65143170180209,100,90,71,1,0,9000
62,63,78.98265498272136,800,90,77,1,0,72000
63,65,47.11312725843034,100,69,43,1,0,6900
63,64,43.70706684862298,100,84,64,1,0,8400
64,80,37.76195869026348,400,61,32,1,0,24400
65,66,24.102680443826756,600,82,49,1,0,49200
66,98,46.24095845457373,100,93,55,1,0,9300
67,98,24.825654617553056,100,46,38,1,0,4600
68,98,58.67322384746556,800,48,27,1,0,38400
68,87,55.76140105884556,200,74,62,1,0,14800
69,70,107.43405826795232,100,51,31,2,1,5100
70,79,51.582881348206556,800,84,74,1,0,67200
71,72,59.528061202094776,400,68,37,1,0,27200
71,95,28.104398662636243,800,40,23,1,0,32000
72,73,19.75253430927965,200,47,36,1,0,9400
73,119,30.00324675030752,800,46,32,1,0,36800
73,96,35.11493742216125,800,79,57,1,0,63200
75,97,37.25877120045256,400,51,41,1,0,20400
75,82,22.62087996827307,100,80,63,1,0,8000
76,97,45.562635675958234,800,47,25,1,0,37600
76,99,39.433239335835964,400,92,60,1,0,36800
76,77,35.553961207534236,800,57,39,1,0,45600
77,102,44.093908776961456,400,77,67,1,0,30800
77,78,46.55100844039354,400,56,48,1,0,22400
78,84,31.151571124440817,400,41,29,1,0,16400
78,85,28.511021563491312,100,76,41,1,0,7600
80,81,28.56122965839052,600,47,31,1,0,28200
81,82,62.82670775632724,100,95,70,1,0,9500
83,140,33.22143620577636,100,93,76,1,0,9300
83,86,66.37634103176246,400,66,53,1,0,26400
84,85,26.76447689458689,800,41,22,1,0,32800
86,107,69.56618075053379,200,87,71,1,0,17400
87,88,45.867393990373344,400,53,37,1,0,21200
87,95,83.03498436579642,600,74,62,2,1,44400
88,93,47.68361565185233,600,74,49,1,0,44400
88,94,74.10941948800927,100,61,40,1,0,6100
88,95,64.02129556002066,100,77,65,1,0,7700
89,90,35.69577862850054,200,65,38,1,0,13000
89,92,28.364828766656828,200,53,42,1,0,10600
90,91,47.76017179649907,800,86,46,1,0,68800
91,92,56.4156838499347,800,43,31,1,0,34400
91,94,44.02614246199457,200,48,39,1,0,9600
91,105,54.94637394442205,200,57,31,1,0,11400
93,119,51.652944624820115,800,92,52,1,0,73600
94,125,39.8533252863388,100,56,31,1,0,5600
95,96,35.68249679566451,400,46,23,1,0,18400
95,119,40.216383115361005,600,43,24,1,0,25800
97,98,65.43356967737716,800,43,31,1,0,34400
98,100,50.560078523466125,400,78,51,1,0,31200
98,104,41.043096324431836,800,58,40,1,0,46400
99,100,33.90338458339957,600,89,74,1,0,53400
99,102,21.12879694598253,400,42,24,1,0,16800
101,104,64.13393074397888,800,53,31,1,0,42400
101,102,32.57929458803818,600,72,47,1,0,43200
103,104,71.97455384359185,200,42,27,1,0,8400
103,106,53.36095853206723,800,69,37,1,0,55200
105,106,51.541080049377484,100,87,45,1,0,8700
108,140,56.99664670162358,400,92,49,1,0,36800
109,116,48.99433936656695,800,88,75,1,0,70400
109,110,28.32401128549161,200,95,77,1,0,19000
110,112,79.48089631521201,400,84,63,1,0,33600
110,111,47.46092498954998,600,84,46,1,0,50400
112,117,133.94150456195524,800,70,49,2,1,56000
113,143,26.753487245401733,800,88,60,1,0,70400
113,128,69.11275036438708,600,61,46,1,0,36600
113,114,56.52562605589072,200,55,30,1,0,11000
113,115,63.362207396672986,400,67,44,1,0,26800
114,115,30.38450194843919,600,53,34,1,0,31800
115,116,54.20468730340142,400,60,37,1,0,24000
118,119,42.74612609682665,400,61,47,1,0,24400
118,121,29.696266004681636,200,56,49,1,0,11200
119,124,34.45155958788556,600,92,63,1,0,55200
120,127,40.85536201456228,600,58,41,1,0,34800
121,122,86.9905967522321,800,88,66,2,1,70400
124,126,56.77020546255671,200,85,60,1,0,17000
125,127,37.466784205015735,600,76,46,1,0,45600
125,126,50.62626146379674,100,81,47,1,0,8100
126,127,35.205997282345,400,79,66,1,0,31600
128,129,53.145575802638184,800,47,35,1,0,37600
128,143,58.7851534491788,600,45,35,1,0,27000
128,142,52.05979941218955,400,44,38,1,0,17600
129,133,59.986294006054244,600,47,41,1,0,28200
130,131,114.57499888658162,100,85,62,2,1,8500
132,135,47.446173819116645,400,84,68,1,0,33600
133,134,44.143528348520015,800,93,55,1,0,74400
134,135,86.22841335950777,600,73,39,2,1,43800
136,137,32.891423293629465,400,75,42,1,0,30000
136,138,26.920131083525412,100,72,52,1,0,7200
137,139,57.61964118323818,400,66,46,1,0,26400
139,140,53.63542265960821,600,83,68,1,0,49800
140,141,72.82229893583289,400,68,50,1,0,27200
